usr_uid;usr_stf_uid;usr_id;usr_account_status;usr_date_account_expiration;usr_account_locked_yn;usr_record_status;usr_date_password_expiration;usr_user_type;usr_record_status_date;usr_create_date;usr_usr_uid_created_by;usr_usr_uid_updated_by;usr_last_update_date
10;1;C12345;A;2021-03-30;N;A;2021-01-10;S;2021-01-09;2021-01-10;95484;16469;2021-01-09
9;2;654321;A;2021-02-20;N;A;2021-01-09;S;2021-01-09;2021-01-10;50732;68308;2021-01-08
8;3;123456;A;2021-01-10;N;A;2021-01-10;S;2021-01-10;2021-01-09;44865;98604;2020-09-10
7;4;678901;E;2020-12-10;N;;2021-01-10;S;2021-01-10;2021-01-10;40706;13795;2021-01-10
6;5;987654;E;2020-11-12;Y;;2021-01-10;S;2021-01-10;2021-01-10;24559;81394;2021-01-10
5;6;C23456;E;2020-10-18;Y;A;2021-01-10;S;2021-01-10;2021-01-10;65199;40967;2021-01-10
4;7;C09876;E;2020-01-20;N;A;2021-01-10;S;2021-01-10;2021-01-10;61759;36353;2021-01-10
3;8;C56734;D;2020-08-10;Y;;2021-01-10;S;2021-01-09;2021-01-10;96272;56133;2021-01-10
2;9;C65432;D;2019-07-15;Y;A;2021-01-10;S;2021-01-10;2021-01-09;37264;26347;2021-01-09
1;10;C45623;A;2021-05-10;N;A;2021-01-10;S;2021-01-09;2021-01-09;29005;2886;2021-01-10
11;10;C45623;A;2021-05-10;N;A;2021-01-10;A;2021-01-09;2021-01-09;29005;2886;2021-01-10
